Sl No,District,Teshil/Taluk,Area,Center_Type,Center_Name,Center_Address,Contact No,Pincode,Post_Office,Latitude,Longitude,Altitude
162,Tirunelveli,Pettai,Tirunelveli,Permanent,Elcot Spr-Aadhaar Permanent Enrollment Center ( Tirunelveli Corporation Zonal ),"Near Pettai Government Hospital, Pettai Corporation Tax Counter, Cheranmahadevi Road",9944417644,627004,Tirunelveli Pettai,8° 43.34' N,77° 39.56' E,68.40m
163,Tirunelveli,Puliangudi,Kadayanallur,Permanent,Puliangudi,Puliangudi Municipal,8940032857,627855,Puliangudi,9° 10.97' N,77° 23.65' E,229.70m
164,Tirunelveli,Sankarankoil,Sankarankoil,Permanent,Elcot Pec-Sankarankovil Municipality,Main Road Near Bus Stand,9965645801,627756,Sankarankovil,9° 10.42' N,77° 32.09' E,158.30m
165,Tirunelveli,Shenkottai,Shenkottai,Permanent,Elcot Spr-Aadhaar Permanent Enrollment Center ( Shenkottai Municipality ),"Opposite Senkottai Bus Stand, Shenkottai Municipal Office, Kp Road",9865188576,627809,Senkottai,8° 58.52' N,77° 15.00' E,494.90m
166,Tirunelveli,Tenkasi,Tenkasi,Permanent,Elcot Spr-Aadhaar Permanent Enrollment Center ( Tenkasi Municipality ),"Near Postoffice Stop, Tenkasi Municipal Office, 85 Anaikkarai Street",9842176962,627811,Tenkasi,8° 57.22' N,77° 18.76' E,156.00m
167,Tirunelveli,Tirunelveli,Tirunelveli,Permanent,Elcot Spr-Aadhaar Permanent Enrollment Center ( Tatchainallur Corporation Zonal ),"Near Daily Thanthi Office, Tatchainallur Corporation Zonal Office Madurai Road Tirunelveliq",9524849609,627001,Tirunelveli,8° 43.91' N,77° 42.56' E,56.10m
168,Tirunelveli,Tirunelveli,Tirunelveli,Permanent,Elcot Spr-Aadha,"Near Scaffter Hr Sec School, Tirunelveli Corporation Head Quarters Office, S.N High Road",9750044196,627001,Tirunelveli,8° 43.70' N,77° 41.84' E,92.90m
169,Tirunelveli,Vikramasingapuram,Ambasamudram,Permanent,Elcot Spr-Aadhaar Permanent Enrollment Center ( Vikramasingapuram Municipality ),"Near Moonlamp Stop, V.K Puram Municipal Office, Papanasam Main Road",9952257766,627425,Vikramasingapuram,8° 42.83' N,77° 23.35' E,392.80m
170,Tiruppur,Andipalayam,Tiruppur,Permanent,Andipalayam,"Vidyalayam Road , Murugampalayam",9095266278,641687,Andipalayam,11° 5.60' N,77° 18.85' E,998.60m
171,Tiruppur,Dharapuram,Dharapuram,Permanent,Dharapuram Municipality Office,Church Road Dharapuram,9894476911,638656,Dharapuram,10° 44.12' N,77° 31.57' E,260.70m
172,Tiruppur,Dharapuram,Dharapuram,Permanent,Dharapuramrdo,Pollachi Road Dharapuram,9500871516,638656,Dharapuram,10° 44.00' N,77° 30.19' E,537.40m
173,Tiruppur,Kangeyam,Kangeyam,Permanent,Kangayam,"Karur Main Road,Kangayam",9787270432,638701,Kangayam,11° .16' N,77° 33.70' E,296.50m
174,Tiruppur,Palladam,Palladam,Permanent,Palladammunicipality,"Trichy Road, Palladam",9976994167,641664,Palladam,10° 59.68' N,77° 17.17' E,404.80m
175,Tiruppur,Tiruppur,Tiruppur,Permanent,Collectorate,Palladam Road Collector,9488570778,641604,T.c.market,11° 8.31' N,77° 20.54' E,300.40m
176,Tiruppur,Tiruppur,Tiruppur,Permanent,Nallur Zone,Kangayam Road Nallur,9578126939,641606,Nallur,11° 5.95' N,77° 23.51' E,350.80m
